"","id","A.t","predicted_ite","source","difference"
"1",3,1,-98.53239258,-108.15376,9.62136742
"2",4,1,-98.53239258,-108.15376,9.62136742
"3",13,0,-98.32023438,-109.707227,11.38699262
"4",14,0,-98.32023438,-109.707227,11.38699262
"5",22,0,-89.66569336,-105.40547,15.73977664
"6",31,0,-93.09123047,-109.382854,16.29162353
"7",36,0,-96.90958984,-106.471143,9.56155316
"8",39,0,-97.80338867,-106.96577,9.16238133
"9",44,0,-91.41251953,-105.907178,14.49465847
"10",60,1,-98.32267578,-109.083203,10.76052722
"11",65,0,-95.19035156,-111.980664,16.79031244
"12",66,1,-92.40763672,-107.174756,14.76711928
"13",86,1,-18.75944336,-79.527295,60.76785164
"14",97,0,-97.54459961,-108.41914,10.87454039
"15",104,0,-129.6366406,-154.079053,24.44241237
"16",105,1,-99.25504883,-143.523145,44.26809617
"17",109,1,-39.40910156,-109.94453,70.53542844
"18",110,1,-129.4091016,-109.94453,-19.46457156
"19",113,1,-97.64152344,-108.392773,10.75124956
"20",119,1,-97.80802734,-108.348584,10.54055666
"21",123,1,-97.26969727,-108.493115,11.22341773
"22",128,0,-98.28483398,-110.09834,11.81350602
"23",129,0,-98.28483398,-110.09834,11.81350602
"24",139,0,-96.59098633,-108.53828,11.94729367
"25",141,0,-98.10880859,-109.280713,11.17190441
"26",142,0,-98.10880859,-109.280713,11.17190441
"27",166,1,-92.85416992,-106.280225,13.42605508
"28",167,1,-92.85416992,-106.280225,13.42605508
"29",177,0,-93.54533203,-109.07466,15.52932797
"30",179,1,-95.6659375,-108.14497,12.4790325
"31",183,1,-91.14689453,-105.827588,14.68069347
"32",192,0,-89.55216797,-103.160107,13.60793903
"33",193,0,-89.55216797,-103.160107,13.60793903
"34",206,1,-92.06657227,-106.995312,14.92873973
"35",207,1,-92.06657227,-106.995312,14.92873973
"36",218,0,-96.82414063,-109.074414,12.25027337
"37",234,0,-97.67545898,-109.381787,11.70632802
"38",244,1,-94.27067383,-107.510205,13.23953117
"39",260,0,-96.90983398,-110.05171,13.14187602
"40",261,0,-96.90983398,-110.05171,13.14187602
"41",274,0,-98.45426758,-108.530957,10.07668942
"42",275,0,-98.45426758,-108.530957,10.07668942
"43",283,0,-150.4466992,-113.2729,-37.17379922
"44",328,0,-91.84147461,-107.893506,16.05203139
"45",368,1,-93.00358398,-110.438428,17.43484402
"46",373,0,-92.28874023,-107.265332,14.97659177
"47",374,0,-92.28874023,-107.265332,14.97659177
"48",387,1,-26.01286133,-101.44209,75.42922867
"49",388,1,-87.41764648,-104.075635,16.65798852
"50",432,1,-98.57780273,-111.298535,12.72073227
"51",489,0,-94.63322266,-110.287793,15.65457034
"52",492,0,-94.42741211,-110.44917,16.02175789
"53",495,0,-91.5343457,-107.576123,16.0417773
"54",517,0,-97.96476563,-108.66743,10.70266437
"55",531,0,-94.62931641,-107.481396,12.85207959
"56",536,0,-90.8378125,-105.02876,14.1909475
"57",545,0,-91.78532227,-107.884473,16.09915073
"58",557,0,-87.39103516,-102.69209,15.30105484
"59",558,0,-87.39103516,-102.69209,15.30105484
"60",565,0,-96.55094727,-108.895703,12.34475573
"61",573,0,-93.30558594,-105.881787,12.57620106
"62",580,0,-94.77555664,-111.67329,16.89773336
"63",581,0,-94.77555664,-111.67329,16.89773336
"64",583,1,-93.19352539,-107.10249,13.90896461
"65",595,0,-92.1256543,-106.9167,14.7910457
"66",602,1,-97.1202832,-108.606152,11.4858688
"67",603,1,-97.1202832,-108.606152,11.4858688
"68",642,0,-97.51408203,-109.914014,12.39993197
"69",643,0,-97.51408203,-109.914014,12.39993197
"70",658,1,-94.22575195,-107.42036,13.19460805
"71",678,1,-96.33732422,-107.1916,10.85427578
"72",680,1,-47.29240234,-105.3271,58.03469766
"73",681,1,-87.29240234,-105.3271,18.03469766
"74",687,1,-87.40202148,-103.266553,15.86453152
"75",689,1,-94.64860352,-110.27583,15.62722648
"76",707,0,-154.6569043,-109.23457,-45.4223343
"77",717,0,-91.97233398,-109.725293,17.75295902
"78",728,1,-92.16349609,-106.86665,14.70315391
"79",730,1,-24.06901367,-100.69258,76.62356633
"80",741,1,-98.34098633,-109.202832,10.86184567
"81",743,0,-95.88517578,-109.8625,13.97732422
"82",749,0,-97.30143555,-106.776074,9.47463845
"83",760,1,-93.84171875,-107.60014,13.75842125
"84",774,1,-97.06046875,-108.609814,11.54934525
"85",775,1,-97.06046875,-108.609814,11.54934525
"86",789,1,-91.62736328,-109.64204,18.01467672
"87",794,1,-90.01774414,-105.671826,15.65408186
"88",818,0,-96.39225586,-110.185498,13.79324214
"89",828,0,-99.26286133,-107.95747,8.69460867
"90",830,0,-99.26286133,-107.95747,8.69460867
"91",831,0,-99.26286133,-107.95747,8.69460867
"92",840,0,-98.16618164,-111.765576,13.59939436
"93",841,0,-98.16618164,-111.765576,13.59939436
"94",842,0,-98.16618164,-111.765576,13.59939436
"95",847,1,-94.62541016,-110.29341,15.66799984
"96",848,1,-94.62541016,-110.29341,15.66799984
"97",866,1,-89.80705078,-104.142375,14.33532422
"98",875,0,-92.07389648,-107.930127,15.85623052
"99",876,0,-92.07389648,-107.930127,15.85623052
"100",887,1,-94.25138672,-132.177043,37.92565628
"101",891,0,-97.15861328,-108.970654,11.81204072
"102",919,0,-150.1808301,-143.723584,-6.45724608
"103",934,0,-97.95475586,-107.792033,9.83727714
"104",935,0,-97.95475586,-107.792033,9.83727714
"105",944,0,-95.70548828,-108.003125,12.29763672
"106",945,0,-95.70548828,-108.003125,12.29763672
"107",993,1,-94.93522461,-110.050244,15.11501939
"108",1001,0,-87.99674805,-105.763867,17.76711895
"109",1002,0,-87.99674805,-105.763867,17.76711895
"110",1023,0,-96.72672852,-111.334912,14.60818348
"111",1024,0,-96.72672852,-111.334912,14.60818348
"112",1028,0,-97.30167969,-106.26005,8.95837031
"113",1029,0,-97.30167969,-106.26005,8.95837031
"114",1032,1,-90.5565625,-105.08711,14.5305475
"115",1034,0,-94.11320313,-109.560588,15.44738487
"116",1042,0,-93.36369141,-110.445752,17.08206059
"117",1053,0,-97.52921875,-109.911084,12.38186525
"118",1056,0,-87.41081055,-103.715283,16.30447245
"119",1109,0,-99.16154297,-107.87617,8.71462703
"120",1122,0,-97.345625,-107.230176,9.884551
"121",1143,0,-94.82511719,-110.13618,15.31106281
"122",1145,0,-94.80436523,-110.152783,15.34841777
"123",1150,0,-98.20988281,-108.73921,10.52932719
"124",1151,0,-98.20988281,-108.73921,10.52932719
"125",1175,0,-98.60636719,-109.63008,11.02371281
"126",1176,0,-98.60636719,-109.63008,11.02371281
"127",1180,1,-90.71525391,-104.71211,13.99685609
"128",1206,0,-95.04118164,-107.956982,12.91580036
"129",1222,0,-93.97624023,-109.554883,15.57864277
"130",1228,0,-91.64665039,-105.365186,13.71853561
"131",1230,1,-96.80802734,-107.41133,10.60330266
