"","id","biased_without"
"1",206,23.571045
"2",207,23.571045
"3",934,21.801025
"4",935,21.801025
"5",1150,24.182373
"6",1151,24.182373
"7",680,31.774414
"8",681,31.774414
"9",840,28.04419
"10",841,28.04419
"11",842,28.04419
"12",828,22.94873
"13",830,22.94873
"14",831,22.94873
"15",109,25.807617
"16",110,25.807617
"17",875,23.16797
"18",876,23.16797
"19",680,31.774414
"20",681,31.774414
"21",86,35.446533
"22",1143,26.817383
"23",1001,30.29297
"24",1002,30.29297
"25",36,23.79834
"26",105,30.08716
"27",39,28.839844
"28",545,23.51465
"29",179,26.891357
"30",1145,26.927734
"31",707,30.28247
"32",840,28.04419
"33",841,28.04419
"34",842,28.04419
"35",728,23.884033
"36",887,35.44812
"37",741,26.13159
"38",828,22.94873
"39",830,22.94873
"40",831,22.94873
"41",274,25.684814
"42",275,25.684814
"43",66,32.659912
"44",139,27.843018
"45",717,24.20459
"46",60,22.98047
"47",583,7.58154
"48",489,27.820312
"49",44,32.818115
"50",22,29.62085
"51",687,25.053467
"52",141,23.90332
"53",142,23.90332
"54",97,20.82544
"55",1034,30.371826
"56",13,26.024414
"57",14,26.024414
"58",1230,23.433105
"59",730,22.885742
"60",875,23.16797
"61",876,23.16797
"62",388,25.3833
"63",891,27.488525
"64",1180,19.25659
"65",432,26.69629
"66",1042,32.3031
"67",1053,23.61743
"68",934,21.801025
"69",935,21.801025
"70",678,29.66162
"71",602,30.926758
"72",603,30.926758
"73",774,25.26831
"74",775,25.26831
"75",492,28.895508
"76",595,23.762207
"77",531,32.78003
"78",128,26.13672
"79",129,26.13672
"80",1150,24.182373
"81",1151,24.182373
"82",234,24.308594
"83",658,37.92041
"84",65,27.979736
"85",642,23.583008
"86",643,23.583008
"87",689,27.74048
"88",328,23.81006
"89",123,20.171143
"90",368,24.233643
"91",373,21.493652
"92",374,21.493652
"93",1206,28.824707
"94",177,18.032227
"95",818,23.616455
"96",387,22.08423
"97",206,23.571045
"98",207,23.571045
"99",536,19.906494
"100",495,22.180664
"101",1032,16.13379
"102",1028,29.17285
"103",1029,29.17285
"104",1122,28.241455
"105",283,22.953857
"106",565,33.295654
"107",244,36.25
"108",104,30.661133
"109",760,21.232178
"110",218,27.621826
"111",743,16.097656
"112",1023,25.67578
"113",1024,25.67578
"114",183,21.546143
"115",1228,26.16797
"116",749,29.168945
"117",166,26.87964
"118",167,26.87964
"119",866,31.418213
"120",1175,26.30835
"121",1176,26.30835
"122",1109,20.287354
"123",113,21.05591
"124",944,27.39868
"125",945,27.39868
"126",192,26.35742
"127",193,26.35742
"128",794,33.399902
"129",109,25.807617
"130",110,25.807617
"131",1222,31.874268
"132",847,27.85962
"133",848,27.85962
"134",31,33.239258
"135",1056,25.236572
"136",557,24.70923
"137",558,24.70923
"138",993,26.040527
"139",517,32.617676
"140",260,24.52002
"141",261,24.52002
"142",580,21.887207
"143",581,21.887207
"144",573,31.056885
"145",3,23.004395
"146",4,23.004395
"147",119,21.45215
"148",919,26.470947
"149",789,30.471436
