"","id","predicted_ite","source","difference"
"1",10,-109.4383203,-106.971965,-2.4663553
"2",11,-109.4383203,-106.971965,-2.4663553
"3",16,-106.2288477,-106.411662,0.1828143
"4",30,-126.2420313,-60.67924,-65.5627913
"5",31,-102.4522363,-109.382854,6.9306177
"6",33,-103.1238672,-82.992717,-20.1311502
"7",48,-101.4436914,-106.22709,4.7833986
"8",76,-106.7356836,-133.06132,26.3256364
"9",83,-99.00033203,-107.687297,8.68696497
"10",94,-102.6988184,-82.43168,-20.2671384
"11",95,-101.9068262,-133.347697,31.4408708
"12",96,-117.9068262,-133.347697,15.4408708
"13",100,-116.4910547,-108.15092,-8.3401347
"14",106,-123.8099023,-134.446574,10.6366717
"15",108,-100.9766504,-107.42924,6.4525896
"16",115,-116.4554102,-108.07841,-8.3770002
"17",121,-109.2862207,-107.64091,-1.6453107
"18",122,-109.2862207,-107.64091,-1.6453107
"19",148,-123.7835352,-109.231486,-14.5520492
"20",175,-102.7422754,-110.829143,8.0868676
"21",178,-102.0132715,-106.559367,4.5460955
"22",203,-78.09798828,-107.3621,29.26411172
"23",204,-78.09798828,-107.3621,29.26411172
"24",209,-101.2251855,-108.427043,7.2018575
"25",222,-116.9161035,-109.471232,-7.4448715
"26",226,-113.7613184,-107.65751,-6.1038084
"27",237,-93.92586914,-104.921428,10.99555886
"28",259,-121.7115137,-108.299357,-13.4121567
"29",287,-101.1824609,-110.139445,8.9569841
"30",289,-111.9905664,-107.449992,-4.5405744
"31",292,-98.7146875,-108.790812,10.0761245
"32",297,-103.2061426,-105.567912,2.3617694
"33",301,-129.5760156,-109.690227,-19.8857886
"34",315,-102.3809473,-109.519084,7.1381367
"35",317,-97.05135742,-109.246867,12.19550958
"36",330,-114.7246973,-107.12553,-7.5991673
"37",331,-114.7246973,-107.12553,-7.5991673
"38",338,-106.5381738,-131.397502,24.8593282
"39",358,-103.4095117,-104.65092,1.2414083
"40",359,-103.4095117,-104.65092,1.2414083
"41",364,-103.3692285,-106.297404,2.9281755
"42",377,-94.22152344,-104.96635,10.74482656
"43",384,-82.72445313,-104.54179,21.81733687
"44",391,-101.430752,-104.529094,3.098342
"45",392,-101.430752,-104.529094,3.098342
"46",396,-123.1831934,-51.76176,-71.4214334
"47",397,-116.5091211,-109.741008,-6.7681131
"48",399,-89.83016602,-104.6226,14.79243398
"49",403,-103.2495996,-109.56547,6.3158704
"50",404,-121.0955469,-108.266643,-12.8289039
"51",412,-103.1451074,-106.72807,3.5829626
"52",413,-103.1451074,-106.72807,3.5829626
"53",417,-102.4202539,-110.248088,7.8278341
"54",418,-102.4202539,-110.248088,7.8278341
"55",420,-84.49496094,-83.677287,-0.81767394
"56",424,-120.6275293,-108.935832,-11.6916973
"57",436,-101.6014063,-106.951213,5.3498067
"58",437,-101.6014063,-106.951213,5.3498067
"59",461,-83.67733398,-103.95683,20.27949602
"60",464,-92.26058594,-105.745402,13.48481606
"61",465,-106.5105859,-82.34501,-24.1655759
"62",494,-107.2530176,-105.15922,-2.0937976
"63",524,-102.897793,-106.55961,3.661817
"64",525,-102.897793,-106.55961,3.661817
"65",538,-100.9624902,-105.560832,4.5983418
"66",562,-106.3594629,-103.979777,-2.3796859
"67",585,-102.1800195,-105.013713,2.8336935
