"","id","A.t","randomwithout"
"1",1038,1,-28.9694824
"2",1039,1,-28.9694824
"3",121,1,-32.706787
"4",122,1,-32.706787
"5",330,0,-35.608887
"6",331,0,-35.608887
"7",1028,0,-29.3969727
"8",1029,0,-29.3969727
"9",412,0,-29.6030273
"10",413,0,-29.6030273
"11",860,0,-34.763428
"12",861,0,-34.763428
"13",963,0,-33.928955
"14",964,0,-33.928955
"15",1219,1,-29.7683105
"16",317,0,-30.468994
"17",807,1,-31.9799805
"18",222,0,-29.614258
"19",287,0,-34.441162
"20",734,0,-25.88793945
"21",585,0,-31.496826
"22",292,1,-34.503174
"23",226,0,-33.742676
"24",790,1,-31.331543
"25",890,0,-30.880615
"26",684,0,-29.993164
"27",297,1,-30.006836
"28",860,0,-34.763428
"29",861,0,-34.763428
"30",605,0,-31.08374
"31",637,1,-26.8945312
"32",810,0,-30.466797
"33",811,0,-30.466797
"34",1131,0,-32.553711
"35",237,1,-33.438232
"36",1238,1,-31.6311035
"37",1241,1,-31.6311035
"38",1110,1,-31.540039
"39",33,1,-32.3415527
"40",83,0,-31.807373
"41",396,1,-30.231201
"42",866,1,-35.041748
"43",1202,1,-30.5751953
"44",209,0,-30.273926
"45",76,0,-33.813232
"46",94,0,-36.306641
"47",802,0,-34.131836
"48",803,0,-34.131836
"49",30,0,-30.7233887
"50",1211,0,-29.647217
"51",946,1,-32.566162
"52",175,1,-33.369141
"53",1188,0,-32.157959
"54",1169,0,-32.8293457
"55",115,0,-30.942383
"56",377,1,-31.6591797
"57",849,0,-30.4765625
"58",850,0,-30.4765625
"59",851,0,-30.4765625
"60",608,0,-30.539795
"61",465,0,-31.1486816
"62",358,0,-29.1955566
"63",359,0,-29.1955566
"64",682,0,-32.6169434
"65",424,1,-31.559082
"66",1242,1,-34.717773
"67",95,1,-33.198242
"68",96,1,-33.198242
"69",538,0,-30.316162
"70",397,1,-34.722168
"71",404,1,-34.301025
"72",742,1,-27.1345215
"73",148,1,-32.529785
"74",862,1,-35.833496
"75",1218,0,-31.0998535
"76",391,1,-31.4260254
"77",392,1,-31.4260254
"78",934,0,-32.477783
"79",935,0,-32.477783
"80",714,0,-33.44873
"81",1226,1,-32.2070312
"82",1227,1,-32.2070312
"83",1038,1,-28.9694824
"84",1039,1,-28.9694824
"85",338,1,-35.54126
"86",744,1,-31.3688965
"87",1154,0,-34.241211
"88",106,1,-34.662109
"89",887,1,-30.4819336
"90",11,0,-31.816162
"91",625,0,-33.840088
"92",364,1,-31.1169434
"93",1033,0,-30.313965
"94",403,0,-33.916748
"95",461,1,-32.8703613
"96",1207,1,-29.845703
"97",31,0,-31.842041
"98",926,0,-32.879883
"99",971,1,-34.678955
"100",998,0,-32.029297
"101",979,0,-29.9904785
"102",980,0,-29.9904785
"103",952,0,-30.3598633
"104",16,0,-32.3999023
"105",1237,0,-32.7924805
"106",420,1,-32.3288574
"107",178,1,-29.960449
"108",417,0,-34.5390625
"109",418,0,-34.5390625
"110",464,0,-30.726074
"111",412,0,-29.6030273
"112",413,0,-29.6030273
"113",1034,0,-29.7558594
"114",524,0,-30.2299805
"115",525,0,-30.2299805
"116",436,0,-30.0109863
"117",437,0,-30.0109863
"118",1051,0,-30.878418
"119",562,0,-32.0549316
"120",203,1,-30.5388184
"121",204,1,-30.5388184
"122",974,1,-31.5373535
"123",1223,1,-30.482422
"124",1224,1,-30.482422
"125",1070,0,-28.8032227
"126",936,0,-32.438965
"127",384,1,-30.6867676
"128",121,1,-32.706787
"129",122,1,-32.706787
"130",399,1,-32.9001465
"131",940,0,-35.258057
"132",315,0,-33.702148
"133",259,0,-34.453369
"134",494,0,-30.703369
"135",865,0,-31.140381
"136",760,1,-33.763672
"137",289,0,-31.0129395
"138",48,1,-31.5737305
"139",330,0,-35.608887
"140",331,0,-35.608887
"141",100,1,-33.236816
"142",108,1,-33.572266
"143",301,0,-34.491699
"144",10,0,-31.816162
"145",1028,0,-29.3969727
"146",1029,0,-29.3969727
